"year","theme_id","theme_name","relative","n_items","source_name","target_name"
1994,525,Technic,son,282,"524-Service Packs","525-Technic"
2024,751,Marvel,son,4,"207-Advent","751-Marvel"
2011,209,Star Wars,son,15,"207-Advent","209-Star Wars"
2013,208,City,son,21,"207-Advent","208-City"
1974,418,Gas Station,son,6,"411-Legoland","418-Gas Station"
2018,208,City,son,21,"207-Advent","208-City"
2006,208,City,son,21,"207-Advent","208-City"
2020,228,Creator,son,36,"227-Christmas","228-Creator"
2015,521,WeDo,son,40,"518-Mindstorms","521-WeDo"
1999,520,RCX,son,16,"518-Mindstorms","520-RCX"
2010,521,WeDo,son,40,"518-Mindstorms","521-WeDo"
2014,208,City,son,21,"207-Advent","208-City"
2012,209,Star Wars,son,15,"207-Advent","209-Star Wars"
2001,520,RCX,son,16,"518-Mindstorms","520-RCX"
2023,228,Creator,son,36,"227-Christmas","228-Creator"
2015,506,Cars,son,21,"754-Disney","506-Cars"
2021,641,Mickey & Friends,son,18,"754-Disney","641-Mickey & Friends"
2014,627,Planes,son,4,"754-Disney","627-Planes"
2013,216,Friends,son,13,"207-Advent","216-Friends"
2022,640,Disney Princess,son,19,"754-Disney","640-Disney Princess"
2015,641,Mickey & Friends,son,18,"754-Disney","641-Mickey & Friends"
1986,524,Service Packs,father,369,"507-Educational and Dacta","524-Service Packs"
2017,697,Batman,father,174,"695-Super Heroes DC","697-Batman"
2013,754,Disney,father,100,"504-Duplo","754-Disney"
2014,524,Service Packs,father,369,"507-Educational and Dacta","524-Service Packs"
1996,524,Service Packs,father,369,"507-Educational and Dacta","524-Service Packs"
2024,706,Spider-Man,father,108,"696-Super Heroes Marvel","706-Spider-Man"
2009,518,Mindstorms,father,90,"507-Educational and Dacta","518-Mindstorms"
2020,697,Batman,father,174,"695-Super Heroes DC","697-Batman"
2019,227,Christmas,father,199,"206-Seasonal","227-Christmas"
2015,518,Mindstorms,father,90,"507-Educational and Dacta","518-Mindstorms"
2001,518,Mindstorms,father,90,"507-Educational and Dacta","518-Mindstorms"
2014,697,Batman,father,174,"695-Super Heroes DC","697-Batman"
2021,754,Disney,father,100,"504-Duplo","754-Disney"
2021,227,Christmas,father,199,"206-Seasonal","227-Christmas"
2002,18,Star Wars,son,11,"1-Technic","18-Star Wars"
2018,711,The LEGO Batman Movie Series 2,son,23,"535-Collectible Minifigures","711-The LEGO Batman Movie Series 2"
1997,195,Fright Knights,son,17,"186-Castle","195-Fright Knights"
2009,35,Bricks & More,son,69,"34-Make & Create","35-Bricks & More"
2002,236,"9V",son,106,"233-Train","236-9V"
2008,55,Coast Guard,son,28,"52-City","55-Coast Guard"
2013,562,The Hobbit,son,25,"561-The Hobbit and Lord of the Rings","562-The Hobbit"
