"type","year","n_items","bigger_item","item_id","item_num","item_name","item_theme_id","item_theme_name","item_img_url","max_color_qtty","item_part_color_id","item_part_color_name","item_part_rgb","item_part_color_group_id","item_part_color_group","item_part_group_rgb","item_part_color_is_trans"
set,1979,2,29,14635,"889-1",Radar Truck,130,Classic Space,https://cdn.rebrickable.com/media/sets/889-1.jpg,20,7,Light Gray,"9BA19D",1,Gray,"6C6E68",false
kit,1976,1,422,3574,WEETABIX5-1,Weetabix Village,413,Building,https://cdn.rebrickable.com/media/sets/weetabix5-1.jpg,126,4,Red,C91A09,4,Red,C91A09,false
set,1976,3,149,898,WEETABIX3-1,House,413,Building,https://cdn.rebrickable.com/media/sets/weetabix3-1.jpg,64,4,Red,C91A09,4,Red,C91A09,false
kit,1971,1,486,11966,"380-1",Village Set,413,Building,https://cdn.rebrickable.com/media/sets/380-1.jpg,165,4,Red,C91A09,4,Red,C91A09,false
set,1970,2,206,10467,"347-1",Fire Station with Mini Cars,417,Fire,https://cdn.rebrickable.com/media/sets/347-1.jpg,83,14,Yellow,F2CD37,6,Yellow,F2CD37,false
set,1969,2,167,8879,"346-2",House with Car,413,Building,https://cdn.rebrickable.com/media/sets/346-2.jpg,70,4,Red,C91A09,4,Red,C91A09,false
kit,1967,1,331,24732,"005-2",Discovery Set,756,Samsonite,https://cdn.rebrickable.com/media/sets/005-2.jpg,259,15,White,FFFFFF,3,White,FFFFFF,false
kit,1966,1,129,24377,"461-1","Windows and Doors, Retailer Pack",371,Supplemental,https://cdn.rebrickable.com/media/sets/461-1.jpg,129,4,Red,C91A09,4,Red,C91A09,false
kit,1966,1,129,24377,"461-1","Windows and Doors, Retailer Pack",371,Supplemental,https://cdn.rebrickable.com/media/sets/461-1.jpg,129,15,White,FFFFFF,3,White,FFFFFF,false
set,1966,11,288,208351,"285-1",Medium Basic Set,756,Samsonite,https://cdn.rebrickable.com/media/sets/285-1.jpg,121,4,Red,C91A09,4,Red,C91A09,false
set,1966,11,288,24731,"285-1",Medium Basic Set,756,Samsonite,https://cdn.rebrickable.com/media/sets/285-1.jpg,121,4,Red,C91A09,4,Red,C91A09,false
kit,1964,1,6,146051,"472-1","1:87 Nine Models",368,HO 1:87 Vehicles,https://cdn.rebrickable.com/media/sets/472-1.jpg,8,15,White,FFFFFF,3,White,FFFFFF,false
set,1964,5,1,146174,"667-1","1:87 VW 1500",368,HO 1:87 Vehicles,https://cdn.rebrickable.com/media/sets/667-1.jpg,1,0,Black,"05131D",2,Black,"05131D",false
set,1964,5,1,146152,"665-1","1:87 Karmann Ghia",368,HO 1:87 Vehicles,https://cdn.rebrickable.com/media/sets/665-1.jpg,1,0,Black,"05131D",2,Black,"05131D",false
set,1964,5,1,146141,"664-2","1:87 Mercedes 220 S",368,HO 1:87 Vehicles,https://cdn.rebrickable.com/media/sets/664-2.jpg,1,0,Black,"05131D",2,Black,"05131D",false
set,1964,5,1,146181,"668-1","1:87 Ford Taunus 17M",368,HO 1:87 Vehicles,https://cdn.rebrickable.com/media/sets/668-1.jpg,1,0,Black,"05131D",2,Black,"05131D",false
