"year","theme_id","theme_name","relative","parent_theme_id","parent_theme_name"
2018,722,Jurassic World,son,504,Duplo
2002,459,Basketball,son,458,Sports
2003,461,Hockey,son,458,Sports
2000,16,RoboRiders,son,1,Technic
1970,418,Gas Station,son,411,Legoland
2013,544,Series 9 Minifigures,son,535,Collectible Minifigures
2011,263,Pirates of the Caribbean,son,608,Disney
1999,674,Early Creator,son,22,Creator
2021,714,Looney Tunes,son,535,Collectible Minifigures
1996,259,NXT,son,258,Mindstorms
2008,35,Bricks & More,son,34,Make & Create
2007,54,Cargo,son,52,City
2012,64,Off-Road,son,52,City
1987,194,Forestmen,son,186,Castle
1985,229,Easter,son,206,Seasonal
2008,409,Monthly Mini Model Build,son,408,LEGO Brand Store
1972,517,Learning,son,507,Educational and Dacta
2016,557,DFB Minifigures,son,535,Collectible Minifigures
2017,619,Cities of Wonders,son,408,LEGO Brand Store
2021,715,Marvel Series 1,son,535,Collectible Minifigures
2009,760,Activity Books,son,497,Books
1984,187,Black Falcons,son,186,Castle
2003,231,Thanksgiving,son,206,Seasonal
2009,241,Supplemental,son,233,Train
1998,297,Desert,son,296,Adventurers
2004,478,X-Pod,son,22,Creator
2012,543,Series 8 Minifigures,son,535,Collectible Minifigures
2012,566,The Lord of the Rings,son,561,The Hobbit and Lord of the Rings
2017,618,The LEGO Ninjago Movie,son,535,Collectible Minifigures
2013,627,Planes,son,754,Disney
2012,641,Mickey & Friends,son,754,Disney
2004,650,Legoville,son,632,Town
2004,731,Bag and Luggage Tags,son,501,Gear
1977,4,Expert Builder,son,1,Technic
2005,56,Construction,son,52,City
1990,136,M:Tron,son,126,Space
2007,193,Fantasy Era,son,186,Castle
2010,196,Kingdoms,son,186,Castle
1992,203,Wolfpack,son,186,Castle
2010,232,Valentine,son,206,Seasonal
1969,234,"12V",son,233,Train
1975,424,Western,son,411,Legoland
1991,503,Key Chain,son,501,Gear
1983,534,Universal Building Set,son,507,Educational and Dacta
2014,548,Series 12 Minifigures,son,535,Collectible Minifigures
2013,572,Speedorz,son,571,Legends of Chima
2018,656,Harry Potter and Fantastic Beasts Series 1,son,535,Collectible Minifigures
2022,718,Series 22 Minifigures,son,535,Collectible Minifigures
1976,729,Airlines,son,598,Promotional
2005,341,Playsets,son,324,Bionicle
2019,710,Harry Potter,son,207,Advent
1997,86,Divers,son,50,Town
1992,90,Paradisa,son,50,Town
2008,211,Castle,son,207,Advent
1998,51,Arctic,son,50,Town
2000,171,Ultimate Collector Series,son,158,Star Wars
1969,505,Basic Set,son,504,Duplo
2004,628,Dora the Explorer,son,504,Duplo
1999,754,Disney,father,504,Duplo
1978,189,Classic Castle,son,186,Castle
1966,235,"4.5V",son,233,Train
2013,547,Series 11 Minifigures,son,535,Collectible Minifigures
1983,728,McDonalds,son,598,Promotional
2009,57,Farm,son,52,City
1997,144,UFO,son,126,Space
2015,551,Series 13 Minifigures,son,535,Collectible Minifigures
2017,611,Series 17 Minifigures,son,535,Collectible Minifigures
2003,406,Inventor,son,22,Creator
1961,756,Samsonite,son,365,System
2005,63,Traffic,son,52,City
1991,129,Blacktron II,son,126,Space
1994,145,Unitron,son,126,Space
1996,191,Dark Forest,son,186,Castle
1984,199,Lion Knights,son,186,Castle
2014,303,Ultra Agents,son,302,Agents
1995,308,Aquanauts,son,307,Aquazone
1985,525,Technic,son,524,Service Packs
2016,593,Disney Princess,son,591,Juniors
2018,711,The LEGO Batman Movie Series 2,son,535,Collectible Minifigures
2003,735,Plush Toys,son,501,Gear
1997,742,Video Games and Accessories,son,501,Gear
2005,60,Hospital,son,52,City
2003,228,Creator,son,227,Christmas
1999,531,eLAB,son,529,Technic
2012,546,Team GB,son,535,Collectible Minifigures
