"id","year","n_items","num_parts","set_num","name","set_img_url","first_theme_id","second_theme_id","third_theme_id","first_theme_name","second_theme_name","third_theme_name","agg_type","color_id","color_name","color_rgb","n_color_parts"
14978,1981,90,775,"6075-2",Castle,https://cdn.rebrickable.com/media/sets/6075-2.jpg,186,189,,Castle,Classic Castle,,color_group,,Yellow,F2CD37,502
212697,1980,126,787,"7740-1",Inter-City Passenger Train,https://cdn.rebrickable.com/media/sets/7740-1.jpg,233,234,,Train,"12V",,color_group,,Gray,"6C6E68",247
4203,1979,104,512,"955-1",Mobile Crane,https://cdn.rebrickable.com/media/sets/955-1.jpg,1,4,,Technic,Expert Builder,,color_group,,Yellow,F2CD37,205
37201,1978,81,982,"398-1",U.S.S. Constellation,https://cdn.rebrickable.com/media/sets/398-1.jpg,404,,,Hobby Sets,,,color_group,,Black,"05131D",586
7557,1977,118,608,"853-1",Auto Chassis,https://cdn.rebrickable.com/media/sets/853-1.jpg,1,4,,Technic,Expert Builder,,color_group,,Red,C91A09,206
10309,1976,80,683,"1045-2",Educational LEGO Building Set,https://cdn.rebrickable.com/media/sets/1045-2.jpg,507,511,,Educational and Dacta,Building Set with People,,color_group,,Red,C91A09,212
5760,1975,42,596,"365-1",Wild West Scene,https://cdn.rebrickable.com/media/sets/365-1.jpg,411,424,,Legoland,Western,,color_group,,Red,C91A09,162
12824,1974,40,412,"145-1",Building Set,https://cdn.rebrickable.com/media/sets/145-1.jpg,465,,,Universal Building Set,,,color_group,,Red,C91A09,155
11547,1973,76,665,"8-3",Basic Set,https://cdn.rebrickable.com/media/sets/8-3.jpg,465,,,Universal Building Set,,,color_group,,Red,C91A09,268
1067,1972,43,901,"1513-1",Denken mit Lego (Thinking with Lego 900pcs),https://cdn.rebrickable.com/media/sets/1513-1.jpg,507,517,,Educational and Dacta,Learning,,color_group,,Blue,"0055BF",216
1067,1972,43,901,"1513-1",Denken mit Lego (Thinking with Lego 900pcs),https://cdn.rebrickable.com/media/sets/1513-1.jpg,507,517,,Educational and Dacta,Learning,,color_group,,Red,C91A09,216
1067,1972,43,901,"1513-1",Denken mit Lego (Thinking with Lego 900pcs),https://cdn.rebrickable.com/media/sets/1513-1.jpg,507,517,,Educational and Dacta,Learning,,color_group,,White,FFFFFF,216
1067,1972,43,901,"1513-1",Denken mit Lego (Thinking with Lego 900pcs),https://cdn.rebrickable.com/media/sets/1513-1.jpg,507,517,,Educational and Dacta,Learning,,color_group,,Yellow,F2CD37,216
164298,1971,60,917,"105-3",Imagination Set 5,https://cdn.rebrickable.com/media/sets/105-3.jpg,365,756,,System,Samsonite,,color_group,,White,FFFFFF,382
5574,1970,46,471,WEETABIX1-1,Weetabix Castle,https://cdn.rebrickable.com/media/sets/weetabix1-1.jpg,411,414,,Legoland,Castle,,color_group,,White,FFFFFF,222
25379,1969,96,798,"842-2",Town Plan,https://cdn.rebrickable.com/media/sets/842-2.jpg,365,756,,System,Samsonite,,color_group,,White,FFFFFF,248
205131,1968,43,470,"502-1",Deluxe Set with Storage Case,https://cdn.rebrickable.com/media/sets/502-1.jpg,365,756,,System,Samsonite,,color_group,,Red,C91A09,183
24756,1967,35,712,"080-2",Ambassador Set,https://cdn.rebrickable.com/media/sets/080-2.jpg,365,756,,System,Samsonite,,color_group,,Red,C91A09,198
205118,1966,204,817,"004-1",Master Builder Set,https://cdn.rebrickable.com/media/sets/004-1.jpg,365,756,,System,Samsonite,,color_group,,Red,C91A09,365
124812,1965,51,304,"610-3",Super Wheel Toy Set,https://cdn.rebrickable.com/media/sets/610-3.jpg,365,756,,System,Samsonite,,color_group,,Blue,"0055BF",119
119,1964,113,253,"323-1",Train,https://cdn.rebrickable.com/media/sets/323-1.jpg,365,,,System,,,color_group,,Red,C91A09,89
208272,1963,237,468,"450-2",Deluxe Building Set,https://cdn.rebrickable.com/media/sets/450-2.jpg,365,756,,System,Samsonite,,color_group,,Red,C91A09,183
9506,1962,65,755,"810-4","Town Plan - UK, Cardboard box",https://cdn.rebrickable.com/media/sets/810-4.jpg,365,372,,System,Town Plan,,color_group,,White,FFFFFF,441
9703,1961,66,760,"810-2",Town Plan - Continental European,https://cdn.rebrickable.com/media/sets/810-2.jpg,365,372,,System,Town Plan,,color_group,,White,FFFFFF,441
14973,1960,3,476,"700K-1",Kindergarten LEGO Set,https://cdn.rebrickable.com/media/sets/700k-1.jpg,507,,,Educational and Dacta,,,color_group,,White,FFFFFF,187
15820,1959,4,21,"281-2","1 x 2 and 3 x 2 Sloping Bricks, Blue",https://cdn.rebrickable.com/media/sets/281-2.jpg,365,371,,System,Supplemental,,color_group,,Blue,"0055BF",21
146741,1958,135,149,"309-2",Church,https://cdn.rebrickable.com/media/sets/309-2.jpg,365,372,,System,Town Plan,,color_group,,White,FFFFFF,131
5266,1957,34,238,"700.0-1",Gift Package,https://cdn.rebrickable.com/media/sets/700.0-1.jpg,365,372,,System,Town Plan,,color_group,,Red,C91A09,118
174735,1956,22,96,"1310-1",ESSO Filling Station,https://cdn.rebrickable.com/media/sets/1310-1.jpg,365,372,,System,Town Plan,,color_group,,White,FFFFFF,67
195456,1955,83,59,"1236-2",Garage,https://cdn.rebrickable.com/media/sets/1236-2.jpg,365,372,,System,Town Plan,,color_group,,White,FFFFFF,39
1721,1954,60,54,"700GP5-1",Gift Package (Lego Mursten),https://cdn.rebrickable.com/media/sets/700gp5-1.jpg,365,372,,System,Town Plan,,color_group,,Red,C91A09,27
126067,1953,13,48,"700.F-1",Automatic Binding Bricks - Small Brick Set (Lego Mursten),https://cdn.rebrickable.com/media/sets/700.f-1.jpg,365,371,,System,Supplemental,,color_group,,Green,"237841",12
126067,1953,13,48,"700.F-1",Automatic Binding Bricks - Small Brick Set (Lego Mursten),https://cdn.rebrickable.com/media/sets/700.f-1.jpg,365,371,,System,Supplemental,,color_group,,Yellow,F2CD37,12
126067,1953,13,48,"700.F-1",Automatic Binding Bricks - Small Brick Set (Lego Mursten),https://cdn.rebrickable.com/media/sets/700.f-1.jpg,365,371,,System,Supplemental,,color_group,,White,FFFFFF,12
126067,1953,13,48,"700.F-1",Automatic Binding Bricks - Small Brick Set (Lego Mursten),https://cdn.rebrickable.com/media/sets/700.f-1.jpg,365,371,,System,Supplemental,,color_group,,Red,C91A09,12
24245,1950,22,1,"700.B.4-1",Single 1 x 2 x 4 Door without Glass (ABB),https://cdn.rebrickable.com/media/sets/700.b.4-1.jpg,365,371,,System,Supplemental,,color_group,,Green,"237841",1
24212,1949,7,178,"700.2-1",Large Gift Set (ABB),https://cdn.rebrickable.com/media/sets/700.2-1.jpg,365,,,System,,,color_group,,Green,"237841",46
